slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
amber-wood,Amber Wood,https://www.etirsah.com/storage/photos/shares/etirler_en_son/amber_vood.jpg,,Unisex,26.00,46.00,72.00,Ajmal,"alma, hil, lavanda, ağ-istiot","sidr, süsən-kökü","ağac-notları, paçuli, ənbər",https://www.etirsah.com/az/product/28,Stokda Var
colonia-futura,Colonia Futura,https://www.etirsah.com/storage/photos/shares/ACQUA%20DI%20PARMA%20-%20COLONIA%20FUTURA%20FOR%20UNISEX.jpg,,Unisex,26.00,46.00,72.00,Acqua Dı Parma,"berqamot, çəhrayı-istiot, limon, qreyfrut","lavanda, müşk-sürvəsi-adaçayı",vetivera,https://www.etirsah.com/az/product/29,Stokda Var
black-incense,Black Incense,https://www.etirsah.com/storage/photos/shares/etirler_en_son/black_incense.jpg,,Kişi,26.00,46.00,72.00,Abdul Samad Al Qurashı,"limon, şaftalı","zəfəran, ətirşah","vetivera, praline",https://www.etirsah.com/az/product/31,Stokda Var
khashab-al-oud,Khashab Al Oud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/khashab_al_oud.jpg,,Unisex,50.00,94.00,152.00,Abdul Samad Al Qurashı,"müşk, aromatik-notlar","dəri, səndəl","paçuli, ənbər, aqar-ağacı-ud",https://www.etirsah.com/az/product/32,Stokda Var
first-instinct,First Instinct,https://www.etirsah.com/storage/photos/shares/etirler_en_son/first_instinct.jpg,,Kişi,20.00,34.00,52.00,Abercrombie & Fitch,"yemiş, tonik-içki, cin-içki","bənövşə-yarpağı, sitrus, siçuan-çin-istiotu","müşk, ənbər, zamş",https://www.etirsah.com/az/product/33,Stokda Var
blu-mediterraneo-fico-di-amalfi,Blu Mediterraneo - Fico di Amalfi,https://www.etirsah.com/storage/photos/shares/etirler_en_son/blu_mediterraneo.jpg,,Unisex,26.00,46.00,72.00,Acqua Dı Parma,"berqamot, limon, qreyfrut, sitron","çəhrayı-istiot, jasmin, əncir","benzoin, sidr, əncir-ağacı",https://www.etirsah.com/az/product/34,Stokda Var
colonia-ebano,Colonia Ebano,https://www.etirsah.com/storage/photos/shares/etirler_en_son/016-06-07-23%20%281%29.jpg,,Kişi,20.00,34.00,52.00,Acqua Dı Parma,"acı-bibər, berqamot, petitgreyn-sitrus-yarpağı, qətranlar","bal, eben-ağacı","paçuli, vetivera",https://www.etirsah.com/az/product/35,Stokda Var
colonia-intensa,Colonia Intensa,https://www.etirsah.com/storage/photos/shares/etirler_en_son/colonia_intensa.jpg,,Kişi,32.00,58.00,92.00,Acqua Dı Parma,"berqamot, hil, limon, zəncəfil","neroli, yovşan-artemisia, mərsin","benzoin, dəri, müşk, paçuli, sidr",https://www.etirsah.com/az/product/36,Stokda Var
colonia-intensa-oud,Colonia Intensa Oud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/colonia_intensa_oud.jpg,,Kişi,20.00,34.00,52.00,Acqua Dı Parma,sitrus,"keşniş, aqar-ağacı-ud, amiris","dəri, müşk",https://www.etirsah.com/az/product/37,Stokda Var
peonia-nobile,Peonia Nobile,https://www.etirsah.com/storage/photos/shares/etirler_en_son/peonia-nbile.jpg,,Qadın,,,,Acqua Dı Parma,"moruq, qara-istiot","freziya, pion, qızılgül, ətirşah","müşk, paçuli, ənbər",https://www.etirsah.com/az/product/38,Stokda Yoxdur
ikat-jasmine,Ikat Jasmine,https://www.etirsah.com/storage/photos/shares/etirler_en_son/ikat-jasmine.jpg,,Qadın,26.00,46.00,72.00,Aerin Lauder,"jasmin, misir-jasmini","tuberoza, doqquzdon","ambroksan, səndəl",https://www.etirsah.com/az/product/39,Stokda Var
tribute-blue,Tribute Blue,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Tribute_Blue.jpg,,Unisex,26.00,46.00,72.00,Afnan,"berqamot, hind-qozu, pimento","ənbər, kaşmir-ağacı","müşk, vetivera, büxur-ladan, ağ-ağac",https://www.etirsah.com/az/product/40,Stokda Var
agent-provocateur,Agent Provocateur,https://www.etirsah.com/storage/photos/shares/etirler_en_son/agent_provocateur.jpg,,Qadın,26.00,46.00,72.00,Agent Provocateur,"maqnoliya, hindistan-zəfəran","qardeniya, vetivera, mərakeş-qızılgülü, misir-jasmini","müşk, sidr, ənbər",https://www.etirsah.com/az/product/41,Stokda Var
aphrodisiaque,Aphrodisiaque,https://www.etirsah.com/storage/photos/shares/etirler_en_son/aphrod%C4%B1s%C4%B1aque.jpg,,Qadın,14.00,22.00,32.00,Agent Provocateur,"böyürtkən, jasmin, ağ-istiot","bal, vanil-orxideyasi, gecə-çiçəyi-kaktusu","müşk, qətranlar",https://www.etirsah.com/az/product/42,Stokda Var
